Nome Completo,Data de Nascimento,Gênero,Bairro,Telefone,Membro Ativo,Data de Cadastro
Sandra Queiroz,29/05/2001,Feminino,Mangabeira,(82) 91040-2526,Sim,27/02/2025
Elisa Cunha,14/01/2011,Feminino,Frei Damião,(82) 99756-7516,Sim,29/03/2025
Mariana Cunha,29/04/2014,Feminino,Alto do Cruzeiro,(82) 95646-6533,Sim,29/01/2026
Ester Brito,06/06/2014,Feminino,Palmeira,(82) 91793-1752,Sim,26/02/2025
Salomão Paiva,03/03/1967,Masculino,Vila Nova,(82) 98479-1011,Não,30/03/2025
Adão Pereira,10/11/2012,Masculino,São Francisco,(82) 93604-5489,Sim,07/06/2025
Waldir Lacerda,18/11/1955,Masculino,Palmeira,(82) 93711-1848,Sim,03/08/2025
Yasmin Campos,20/07/2012,Feminino,Novo Horizonte,(82) 92494-2559,Sim,08/02/2025
Raimundo Holanda,07/04/1999,Masculino,Jardim Tropical,(82) 98291-1152,Sim,25/06/2025
Noemi Cruz,17/07/1969,Feminino,Cohab,(82) 93165-8826,Sim,15/05/2025
Cornélio Barros,03/02/1971,Masculino,Centro,(82) 96133-7022,Sim,22/01/2026
Rubem Medeiros,19/02/1970,Masculino,Novo Horizonte,(82) 93340-2120,Sim,03/06/2026
Clarice Ramos,26/07/2019,Feminino,Alto do Cruzeiro,(82) 94490-3480,Sim,19/09/2024
Adriana Freitas,26/01/2005,Feminino,Palmeira,(82) 92646-3293,Não,16/10/2024
